1789716900.002283 server started (2187779): version 3.4, socket /tmp/tmux-1008/default, protocol 8
1789716900.002296 on Linux 7.0.0-28-generic #28~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Wed Jul  1 15:50:57 UTC 2
1789716900.002301 using libevent 2.1.12-stable poll
1789716900.002303 using ncurses 6.4 20240113
1789716900.002333 input_key_build: 0x10e003 (PasteStart) is \033[200~
1789716900.002338 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1789716900.002340 input_key_build: 0x10e195 (F1) is \033OP
1789716900.002342 input_key_build: 0x10e196 (F2) is \033OQ
1789716900.002348 input_key_build: 0x10e197 (F3) is \033OR
1789716900.002350 input_key_build: 0x10e198 (F4) is \033OS
1789716900.002352 input_key_build: 0x10e199 (F5) is \033[15~
1789716900.002354 input_key_build: 0x10e19a (F6) is \033[17~
1789716900.002356 input_key_build: 0x10e19b (F7) is \033[18~
1789716900.002358 input_key_build: 0x10e19c (F8) is \033[19~
1789716900.002359 input_key_build: 0x10e19d (F9) is \033[20~
1789716900.002361 input_key_build: 0x10e19e (F10) is \033[21~
1789716900.002362 input_key_build: 0x10e19f (F11) is \033[23~
1789716900.002364 input_key_build: 0x10e1a0 (F12) is \033[24~
1789716900.002366 input_key_build: 0x10e1a1 (IC) is \033[2~
1789716900.002367 input_key_build: 0x10e1a2 (DC) is \033[3~
1789716900.002370 input_key_build: 0x10e1a3 (Home) is \033[1~
1789716900.002372 input_key_build: 0x10e1a4 (End) is \033[4~
1789716900.002374 input_key_build: 0x10e1a5 (NPage) is \033[6~
1789716900.002376 input_key_build: 0x10e1a6 (PPage) is \033[5~
1789716900.002378 input_key_build: 0x10e1a7 (BTab) is \033[Z
1789716900.002380 input_key_build: 0x10e1a8 (Up) is \033[A
1789716900.002381 input_key_build: 0x10e1a9 (Down) is \033[B
1789716900.002384 input_key_build: 0x10e1aa (Left) is \033[D
1789716900.002387 input_key_build: 0x10e1ab (Right) is \033[C
1789716900.002388 input_key_build: 0x10e1ac (KP/) is /
1789716900.002391 input_key_build: 0x10e1ad (KP*) is *
1789716900.002392 input_key_build: 0x10e1ae (KP-) is -
1789716900.002394 input_key_build: 0x10e1af (KP7) is 7
1789716900.002396 input_key_build: 0x10e1b0 (KP8) is 8
1789716900.002398 input_key_build: 0x10e1b1 (KP9) is 9
1789716900.002400 input_key_build: 0x10e1b2 (KP+) is +
1789716900.002402 input_key_build: 0x10e1b3 (KP4) is 4
1789716900.002403 input_key_build: 0x10e1b4 (KP5) is 5
1789716900.002405 input_key_build: 0x10e1b5 (KP6) is 6
1789716900.002407 input_key_build: 0x10e1b6 (KP1) is 1
1789716900.002409 input_key_build: 0x10e1b7 (KP2) is 2
1789716900.002411 input_key_build: 0x10e1b8 (KP3) is 3
1789716900.002413 input_key_build: 0x10e1b9 (KPEnter) is \n
1789716900.002415 input_key_build: 0x10e1ba (KP0) is 0
1789716900.002417 input_key_build: 0x10e1bb (KP.) is .
1789716900.002419 input_key_build: 0x200000000009 (C-Tab) is \t
1789716900.002421 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1789716900.002423 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1789716900.002425 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1789716900.002427 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1789716900.002430 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1789716900.002432 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1789716900.002434 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1789716900.002436 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1789716900.002438 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1789716900.002440 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1789716900.002442 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1789716900.002444 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1789716900.002445 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1789716900.002447 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1789716900.002449 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1789716900.002451 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1789716900.002453 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1789716900.002455 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1789716900.002457 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1789716900.002461 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1789716900.002464 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1789716900.002466 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1789716900.002468 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1789716900.002470 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1789716900.002472 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1789716900.002473 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1789716900.002475 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1789716900.002477 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1789716900.002479 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1789716900.002481 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1789716900.002482 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1789716900.002484 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1789716900.002486 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1789716900.002488 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1789716900.002490 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1789716900.002491 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1789716900.002493 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1789716900.002495 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1789716900.002497 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1789716900.002499 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1789716900.002501 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1789716900.002502 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1789716900.002504 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1789716900.002507 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1789716900.002508 input_key_build: 0x600000000009 (C-S-Tab) is \033[Z
1789716900.002510 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
